Title,Company,Reward,Link
사업 전략, 이마고웍스, 합격보상금 100만원, https://www.wanted.co.kr/wd/239941
숏폼 컨텐츠 제작 & 편집자 3년이상, 카고컨테이너, 합격보상금 100만원, https://www.wanted.co.kr/wd/239618
[폰고] 전략기획 담당자, 피에로컴퍼니, 합격보상금 100만원, https://www.wanted.co.kr/wd/239420
Strategy Chapter Lead, 브레이브모바일(숨고,Soomgo), 합격보상금 100만원, https://www.wanted.co.kr/wd/239063
비전 알고리즘 개발자, 와따, 합격보상금 100만원, https://www.wanted.co.kr/wd/232908
고객 성공 매니저 (CSM), 핵클(Hackle), 합격보상금 100만원, https://www.wanted.co.kr/wd/126564
사이니지 프랜차이즈 고객 대상 기술 및 일반영업 담당자, 사운드그래프, 합격보상금 100만원, https://www.wanted.co.kr/wd/229545
브랜드 매니저(10년 이상), 고퀄(GOQUAL), 합격보상금 100만원, https://www.wanted.co.kr/wd/236424
사업 전략, 이마고웍스, 합격보상금 100만원, https://www.wanted.co.kr/wd/239941
숏폼 컨텐츠 제작 & 편집자 3년이상, 카고컨테이너, 합격보상금 100만원, https://www.wanted.co.kr/wd/239618
[폰고] 전략기획 담당자, 피에로컴퍼니, 합격보상금 100만원, https://www.wanted.co.kr/wd/239420
Strategy Chapter Lead, 브레이브모바일(숨고,Soomgo), 합격보상금 100만원, https://www.wanted.co.kr/wd/239063
비전 알고리즘 개발자, 와따, 합격보상금 100만원, https://www.wanted.co.kr/wd/232908
고객 성공 매니저 (CSM), 핵클(Hackle), 합격보상금 100만원, https://www.wanted.co.kr/wd/126564
사이니지 프랜차이즈 고객 대상 기술 및 일반영업 담당자, 사운드그래프, 합격보상금 100만원, https://www.wanted.co.kr/wd/229545
브랜드 매니저(10년 이상), 고퀄(GOQUAL), 합격보상금 100만원, https://www.wanted.co.kr/wd/236424
Computer vision 알고리즘 개발, 클라모스, 합격보상금 100만원, https://www.wanted.co.kr/wd/234653
캠핑용품 상품기획팀 3년이상, 카고컨테이너, 합격보상금 100만원, https://www.wanted.co.kr/wd/239617
알고리즘사업부 의료기기SW 풀스택 개발자, 에이엠시지(AMCGCo.Ltd.), 합격보상금 100만원, https://www.wanted.co.kr/wd/237833
글로벌 퍼포먼스 마케터 팀리드 - 5년 이상 (광고사업부), 매드업, 합격보상금 100만원, https://www.wanted.co.kr/wd/222559
